ABV_CUSTOMER_ID,SEGMENT_NAME,SEGMENT_VALUE,IREP_EMAIL_OPEN,NPP_TRANSACTION_TOUCHPOINTS,ISA_CALL_COUNT
143438,ONCOLOGY CLL DECILE GROUP,High,2,366,5
143565,ONCOLOGY CLL DECILE GROUP,High,0,0,17
143628,ONCOLOGY CLL DECILE GROUP,High,0,59,7
143823,ONCOLOGY CLL DECILE GROUP,High,1,296,8
144017,ONCOLOGY CLL DECILE GROUP,High,0,152,6
146406,ONCOLOGY CLL DECILE GROUP,High,1,46,8
144872,ONCOLOGY CLL DECILE GROUP,High,17,3,10
145652,ONCOLOGY CLL DECILE GROUP,High,9,238,4
146197,ONCOLOGY CLL DECILE GROUP,High,4,157,3
154677,ONCOLOGY CLL DECILE GROUP,High,7,232,3
148275,ONCOLOGY CLL DECILE GROUP,High,58,188,8
156952,ONCOLOGY CLL DECILE GROUP,High,5,57,5
158384,ONCOLOGY CLL DECILE GROUP,High,3,70,10
158640,ONCOLOGY CLL DECILE GROUP,High,10,67,0
158896,ONCOLOGY CLL DECILE GROUP,High,17,144,3
148430,ONCOLOGY CLL DECILE GROUP,High,4,81,3
160449,ONCOLOGY CLL DECILE GROUP,High,6,1049,16
161543,ONCOLOGY CLL DECILE GROUP,High,5,11,1
162478,ONCOLOGY CLL DECILE GROUP,High,7,28,3
162641,ONCOLOGY CLL DECILE GROUP,High,0,54,12
162676,ONCOLOGY CLL DECILE GROUP,High,2,40,22
150677,ONCOLOGY CLL DECILE GROUP,High,10,182,2
163023,ONCOLOGY CLL DECILE GROUP,High,5,49,4
163548,ONCOLOGY CLL DECILE GROUP,High,0,98,3
163563,ONCOLOGY CLL DECILE GROUP,High,11,56,17
163942,ONCOLOGY CLL DECILE GROUP,High,0,1,0
163977,ONCOLOGY CLL DECILE GROUP,High,0,14,7
164139,ONCOLOGY CLL DECILE GROUP,High,4,36,1
164260,ONCOLOGY CLL DECILE GROUP,High,5,83,2
165850,ONCOLOGY CLL DECILE GROUP,High,13,370,5
166535,ONCOLOGY CLL DECILE GROUP,High,14,86,1
167043,ONCOLOGY CLL DECILE GROUP,High,0,60,9
153956,ONCOLOGY CLL DECILE GROUP,High,10,4,21
167471,ONCOLOGY CLL DECILE GROUP,High,1,19,5
168886,ONCOLOGY CLL DECILE GROUP,High,29,22,14
167749,ONCOLOGY CLL DECILE GROUP,High,7,49,5
168954,ONCOLOGY CLL DECILE GROUP,High,7,86,4
174958,ONCOLOGY CLL DECILE GROUP,High,0,0,1
169367,ONCOLOGY CLL DECILE GROUP,High,11,199,9
170041,ONCOLOGY CLL DECILE GROUP,High,5,28,0
176013,ONCOLOGY CLL DECILE GROUP,High,1,14,8
176261,ONCOLOGY CLL DECILE GROUP,High,0,0,0
170651,ONCOLOGY CLL DECILE GROUP,High,0,15,7
177557,ONCOLOGY CLL DECILE GROUP,High,0,507,4
178032,ONCOLOGY CLL DECILE GROUP,High,5,553,10
178326,ONCOLOGY CLL DECILE GROUP,High,7,373,15
178760,ONCOLOGY CLL DECILE GROUP,High,0,126,7
179402,ONCOLOGY CLL DECILE GROUP,High,3,3,3
179754,ONCOLOGY CLL DECILE GROUP,High,0,106,12
179972,ONCOLOGY CLL DECILE GROUP,High,0,0,5
181008,ONCOLOGY CLL DECILE GROUP,High,3,846,4
171435,ONCOLOGY CLL DECILE GROUP,High,10,0,17
181150,ONCOLOGY CLL DECILE GROUP,High,0,68,6
171641,ONCOLOGY CLL DECILE GROUP,High,0,174,0
181948,ONCOLOGY CLL DECILE GROUP,High,15,303,10
182039,ONCOLOGY CLL DECILE GROUP,High,0,14,0
171757,ONCOLOGY CLL DECILE GROUP,High,8,0,1
172006,ONCOLOGY CLL DECILE GROUP,High,4,0,2
182338,ONCOLOGY CLL DECILE GROUP,High,0,0,7
182503,ONCOLOGY CLL DECILE GROUP,High,5,136,0
182717,ONCOLOGY CLL DECILE GROUP,High,116,80,13
182849,ONCOLOGY CLL DECILE GROUP,High,6,0,3
182922,ONCOLOGY CLL DECILE GROUP,High,0,96,8
182938,ONCOLOGY CLL DECILE GROUP,High,4,194,8
172544,ONCOLOGY CLL DECILE GROUP,High,3,71,2
183552,ONCOLOGY CLL DECILE GROUP,High,29,659,13
172660,ONCOLOGY CLL DECILE GROUP,High,0,266,0
183557,ONCOLOGY CLL DECILE GROUP,High,0,100,6
184178,ONCOLOGY CLL DECILE GROUP,High,31,244,12
184595,ONCOLOGY CLL DECILE GROUP,High,4,0,26
185135,ONCOLOGY CLL DECILE GROUP,High,0,0,9
185994,ONCOLOGY CLL DECILE GROUP,High,0,301,14
174408,ONCOLOGY CLL DECILE GROUP,High,8,461,24
174641,ONCOLOGY CLL DECILE GROUP,High,1,15,0
187536,ONCOLOGY CLL DECILE GROUP,High,0,217,1
188168,ONCOLOGY CLL DECILE GROUP,High,17,136,8
192752,ONCOLOGY CLL DECILE GROUP,High,4,0,4
189003,ONCOLOGY CLL DECILE GROUP,High,3,0,0
190508,ONCOLOGY CLL DECILE GROUP,High,13,119,2
192948,ONCOLOGY CLL DECILE GROUP,High,25,254,12
193215,ONCOLOGY CLL DECILE GROUP,High,6,35,2
190932,ONCOLOGY CLL DECILE GROUP,High,0,0,7
190947,ONCOLOGY CLL DECILE GROUP,High,1,565,3
197397,ONCOLOGY CLL DECILE GROUP,High,0,321,2
195046,ONCOLOGY CLL DECILE GROUP,High,12,232,3
199052,ONCOLOGY CLL DECILE GROUP,High,0,0,9
199098,ONCOLOGY CLL DECILE GROUP,High,0,0,5
199562,ONCOLOGY CLL DECILE GROUP,High,1,199,1
199973,ONCOLOGY CLL DECILE GROUP,High,0,228,8
195567,ONCOLOGY CLL DECILE GROUP,High,5,184,4
200397,ONCOLOGY CLL DECILE GROUP,High,0,4,7
200808,ONCOLOGY CLL DECILE GROUP,High,1,22,6
